Table,Indicator,Period,Year,Quarter,Value
TABELA 3: INDICADORES DE USO,Crédito (milhões de MT) por 1000 adultos **,2022,2022,,16.290622448925042
TABELA 3: INDICADORES DE USO,Crédito (milhões de MT) por 1000 adultos **,2023Q1,2023,Q1,16.05117407517542
TABELA 3: INDICADORES DE USO,Crédito (milhões de MT) por 1000 adultos **,2023Q2,2023,Q2,16.436058196747464
TABELA 3: INDICADORES DE USO,Crédito (milhões de MT) por 1000 adultos **,2023Q3,2023,Q3,16.034833657616257
TABELA 3: INDICADORES DE USO,Crédito (milhões de MT) por 1000 adultos **,2023,2023,,15.334596552245483
TABELA 3: INDICADORES DE USO,Crédito (milhões de MT) por 1000 adultos **,2024Q1,2024,Q1,14.627401902025918
TABELA 3: INDICADORES DE USO,Crédito (milhões de MT) por 1000 adultos **,2024Q2,2024,Q2,15.026772816465497
TABELA 3: INDICADORES DE USO,Crédito (milhões de MT) por 1000 adultos **,2024Q3,2024,Q3,15.4929051372936
TABELA 3: INDICADORES DE USO,Crédito (milhões de MT) por 1000 adultos **,2024Q4,2024,Q4,15.325993495795107
TABELA 3: INDICADORES DE USO,Crédito (milhões de MT) por 1000 adultos **,2025Q1,2025,Q1,14.715265974006838
TABELA 3: INDICADORES DE USO,Crédito (milhões de MT) por 1000 adultos **,2025Q2,2025,Q2,14.502576208529748
TABELA 3: INDICADORES DE USO,Crédito (milhões de MT) por 1000 adultos **,2025Q3,2025,Q3,15.098024343550676
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2020Q1,2020,Q1,0.4546380035059225
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2020Q2,2020,Q2,0.4706909722429013
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2020Q3,2020,Q3,0.4944258474413506
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2020,2020,,0.5369516358708198
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2021Q1,2021,Q1,0.5204662794132561
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2021Q2,2021,Q2,0.5294976525964247
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2021Q3,2021,Q3,0.5769156933064857
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2021,2021,,0.5085459845166852
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2022Q1,2022,Q1,0.5254997774779161
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2022Q2,2022,Q2,0.5309383096244812
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2022Q3,2022,Q3,0.5228992569623779
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2022,2022,,0.48373155353901837
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2023Q1,2023,Q1,0.44124811763938865
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2023Q2,2023,Q2,0.43455245239235507
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2023Q3,2023,Q3,0.43987400556823675
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2023,2023,,0.45362027414452977
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2024Q1,2024,Q1,0.43022787052300265
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2024Q2,2024,Q2,0.44209908797715686
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2024Q3,2024,Q3,0.4621991235919918
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2024Q4,2024,Q4,0.4860302977782151
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2025Q1,2025,Q1,0.502281551236918
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2025Q2,2025,Q2,0.5186055848239246
TABELA 3: INDICADORES DE USO,Depósitos / PIB (%)  - Preços Correntes *,2025Q3,2025,Q3,0.5170387384214445
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2020Q1,2020,Q1,26.813531355107457
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2020Q2,2020,Q2,27.760299503067476
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2020Q3,2020,Q3,29.160129291680587
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2020,2020,,32.1345980746237
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2021Q1,2021,Q1,30.18976411447804
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2021Q2,2021,Q2,30.71363095622052
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2021Q3,2021,Q3,33.46412511968735
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2021,2021,,31.57388221048269
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2022Q1,2022,Q1,31.958161770589196
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2022Q2,2022,Q2,32.28890499367606
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2022Q3,2022,Q3,31.80001164591708
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2022,2022,,33.51169741107492
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2023Q1,2023,Q1,32.70997765907861
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2023Q2,2023,Q2,32.21362234273918
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2023Q3,2023,Q3,32.60811212950922
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2023,2023,,33.62713089721082
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2024Q1,2024,Q1,33.469067605405996
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2024Q2,2024,Q2,34.392574906428976
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2024Q3,2024,Q3,35.956233369666556
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2024Q4,2024,Q4,37.81015133873098
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2025Q1,2025,Q1,32.29267901236041
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2025Q2,2025,Q2,38.926264038584726
TABELA 3: INDICADORES DE USO,Depósitos (milhões de MT) por 1000 adultos **,2025Q3,2025,Q3,38.80865736685644
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2020Q1,2020,Q1,0.30252460605796516
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2020Q2,2020,Q2,0.3043600669839143
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2020Q3,2020,Q3,0.30679861311584744
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2020,2020,,0.3096669141948646
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2021Q1,2021,Q1,0.3027882017152443
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2021Q2,2021,Q2,0.3071931014813964
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2021Q3,2021,Q3,0.30958102947271776
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2021,2021,,0.3035119886784444
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2022Q1,2022,Q1,0.2980581401909615
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2022Q2,2022,Q2,0.3117289784976695
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2022Q3,2022,Q3,0.3084339394309904
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2022,2022,,0.3060210363549426
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2023Q1,2023,Q1,0.29840899643174373
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2023Q2,2023,Q2,0.30051909570236324
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2023Q3,2023,Q3,0.30524443510682525
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2023,2023,,0.30937609124796395
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2024Q1,2024,Q1,0.3010967574676208
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2024Q2,2024,Q2,0.3091968265515026
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2024Q3,2024,Q3,0.32481332687380127
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2024Q4,2024,Q4,0.3297194706295025
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2025Q1,2025,Q1,0.32275908472883563
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2025Q2,2025,Q2,0.32700799733955616
TABELA 3: INDICADORES DE USO,Contas bancárias em % da População Adulta,2025Q3,2025,Q3,0.33168840584574694
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2020Q1,2020,Q1,0.18515041505610116
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2020Q2,2020,Q2,0.19282643912122602
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2020Q3,2020,Q3,0.1934255104402939
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2020,2020,,0.1949716303900797
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2021Q1,2021,Q1,0.18959214673024896
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2021Q2,2021,Q2,0.18993132848373856
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2021Q3,2021,Q3,0.19502172375725751
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2021,2021,,0.18616251877037385
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2022Q1,2022,Q1,0.1837908178052989
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2022Q2,2022,Q2,0.19246484691376084
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2022Q3,2022,Q3,0.19103927448255686
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2022,2022,,0.1893849733592292
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2023Q1,2023,Q1,0.18451304201713067
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2023Q2,2023,Q2,0.18451302268812939
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2023Q3,2023,Q3,0.18934126496176323
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2023,2023,,0.19273182450674986
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2024Q1,2024,Q1,0.18875179135539483
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2024Q2,2024,Q2,0.19285547187264543
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2024Q3,2024,Q3,0.203621875889857
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2024Q4,2024,Q4,0.20766856506219994
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2025Q1,2025,Q1,0.204153826354384
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2025Q2,2025,Q2,0.20758990565646562
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares mulheres em % da População Adulta feminina,2025Q3,2025,Q3,0.21132053957084998
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2020Q1,2020,Q1,0.41236707587235694
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2020Q2,2020,Q2,0.4077922081251425
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2020Q3,2020,Q3,0.41363118575224345
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2020,2020,,0.4172276565502413
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2021Q1,2021,Q1,0.405663510065352
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2021Q2,2021,Q2,0.4069735296107493
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2021Q3,2021,Q3,0.4128478245892146
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2021,2021,,0.40941729392143733
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2022Q1,2022,Q1,0.40590387533025707
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2022Q2,2022,Q2,0.4234840284567559
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2022Q3,2022,Q3,0.4198285250366633
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2022,2022,,0.4161483123510487
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2023Q1,2023,Q1,0.40553783113165304
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2023Q2,2023,Q2,0.4091804476714718
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2023Q3,2023,Q3,0.414931576279777
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2023,2023,,0.4194531995898113
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2024Q1,2024,Q1,0.40654751920856186
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2024Q2,2024,Q2,0.4154392329907466
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2024Q3,2024,Q3,0.43554782230290645
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2024Q4,2024,Q4,0.44121190496442225
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2025Q1,2025,Q1,0.43065601906082795
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2025Q2,2025,Q2,0.4354995666103767
TABELA 3: INDICADORES DE USO,Contas bancárias com titulares homens em % da População Adulta masculina,2025Q3,2025,Q3,0.44111240535945734
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2020Q1,2020,Q1,0.5643767931898428
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2020Q2,2020,Q2,0.5692753229650515
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2020Q3,2020,Q3,0.5772837738088523
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2020,2020,,0.568731592357625
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2021Q1,2021,Q1,0.5497191020929851
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2021Q2,2021,Q2,0.557199830460458
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2021Q3,2021,Q3,0.5617663234358926
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2021,2021,,0.5505928393700683
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2022Q1,2022,Q1,0.5394283079582906
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2022Q2,2022,Q2,0.5669311812932116
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2022Q3,2022,Q3,0.557219322778279
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2022,2022,,0.5487875359846416
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2023Q1,2023,Q1,0.5341520966924493
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2023Q2,2023,Q2,0.5443179593362325
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2023Q3,2023,Q3,0.5501631534294851
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2023,2023,,0.5613097957319063
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2024Q1,2024,Q1,0.6509379182907932
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2024Q2,2024,Q2,0.6906357648055073
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2024Q3,2024,Q3,0.7195298301574515
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2024Q4,2024,Q4,0.7338280620661528
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2025Q1,2025,Q1,0.6004282541888084
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2025Q2,2025,Q2,0.6080127521184857
TABELA 3: INDICADORES DE USO,Contas bancárias população urbana em % da População Adulta urbana,2025Q3,2025,Q3,0.6148846300570369
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2020Q1,2020,Q1,0.1486170605478677
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2020Q2,2020,Q2,0.1486521568731555
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2020Q3,2020,Q3,0.14781690807399284
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2020,2020,,0.15739776883801135
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2021Q1,2021,Q1,0.15529686346379434
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2021Q2,2021,Q2,0.15786457689179717
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2021Q3,2021,Q3,0.15895125232832252
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2021,2021,,0.15593108540118356
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2022Q1,2022,Q1,0.15388821652599494
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2022Q2,2022,Q2,0.15929720767655015
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2022Q3,2022,Q3,0.15983492217085937
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2022,2022,,0.16101708643117635
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2023Q1,2023,Q1,0.1576000983725997
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2023Q2,2023,Q2,0.15489847043201108
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2023Q3,2023,Q3,0.1589549223371251
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2023,2023,,0.15889654018884455
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2024Q1,2024,Q1,0.13908831420708717
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2024Q2,2024,Q2,0.13255572337177376
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2024Q3,2024,Q3,0.14202349712432885
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2024Q4,2024,Q4,0.14258024535134806
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2025Q1,2025,Q1,0.1536717077529238
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2025Q2,2025,Q2,0.1558894068394398
TABELA 3: INDICADORES DE USO,Contas bancárias população rural em % da População Adulta rural,2025Q3,2025,Q3,0.15923531422416506
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2020Q1,2020,Q1,0.5613779755582547
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2020Q2,2020,Q2,0.587089921729042
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2020Q3,2020,Q3,0.6128845386867207
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2020,2020,,0.6556653394555712
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2021Q1,2021,Q1,0.6467742470979011
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2021Q2,2021,Q2,0.7035372352874858
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2021Q3,2021,Q3,0.7780779071405787
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2021,2021,,0.6724778932441363
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2022Q1,2022,Q1,0.6791291392308324
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2022Q2,2022,Q2,0.597042847611083
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2022Q3,2022,Q3,0.5736992666957498
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2022,2022,,0.6850598360768451
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2023Q1,2023,Q1,0.745800801751639
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2023Q2,2023,Q2,0.8283287527726295
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2023Q3,2023,Q3,0.894600699197374
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2023,2023,,0.9316469452600071
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2024Q1,2024,Q1,0.909660943073126
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2024Q2,2024,Q2,0.9448809314571005
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2024Q3,2024,Q3,0.9919005196383832
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2024Q4,2024,Q4,1.0934669693626793
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2025Q1,2025,Q1,1.0975732487003742
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2025Q2,2025,Q2,1.1868541439562432
TABELA 3: INDICADORES DE USO,Contas IME em % da População Adulta,2025Q3,2025,Q3,1.2383455055178907
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2020Q1,2020,Q1,0.4140172279834985
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2020Q2,2020,Q2,0.43297983275812346
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2020Q3,2020,Q3,0.4520034073810757
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2020,2020,,0.4835543219455815
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2021Q1,2021,Q1,0.4773388151543284
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2021Q2,2021,Q2,0.51923160486977
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2021Q3,2021,Q3,0.5742448589422953
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2021,2021,,0.5011498149148917
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2022Q1,2022,Q1,0.511563665588931
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2022Q2,2022,Q2,0.45756641897115025
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2022Q3,2022,Q3,0.4471037678947419
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2022,2022,,0.5390699132946761
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2023Q1,2023,Q1,0.6280093190919769
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2023Q2,2023,Q2,0.7070938287018419
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2023Q3,2023,Q3,0.7723067359584208
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2023,2023,,0.8085850735974344
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2024Q1,2024,Q1,0.7997924421783325
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2024Q2,2024,Q2,0.8179459570208323
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2024Q3,2024,Q3,0.8396672515281117
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2024Q4,2024,Q4,0.9243239566205771
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2025Q1,2025,Q1,0.9540059622860567
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2025Q2,2025,Q2,1.0301065716581352
TABELA 3: INDICADORES DE USO,Contas IME com titulares mulheres em % da População Adulta feminina,2025Q3,2025,Q3,1.0738577109546934
TABELA 3: INDICADORES DE USO,Contas IME com titulares homens em % da População Adulta masculina,2020Q1,2020,Q1,0.7218076155600287
TABELA 3: INDICADORES DE USO,Contas IME com titulares homens em % da População Adulta masculina,2020Q2,2020,Q2,0.7548674778363994
TABELA 3: INDICADORES DE USO,Contas IME com titulares homens em % da População Adulta masculina,2020Q3,2020,Q3,0.7880336364160823
TABELA 3: INDICADORES DE USO,Contas IME com titulares homens em % da População Adulta masculina,2020,2020,,0.843040261433754
TABELA 3: INDICADORES DE USO,Contas IME com titulares homens em % da População Adulta masculina,2021Q1,2021,Q1,0.8309433156628555
TABELA 3: INDICADORES DE USO,Contas IME com titulares homens em % da População Adulta masculina,2021Q2,2021,Q2,0.9038695736652795
TABELA 3: INDICADORES DE USO,Contas IME com titulares homens em % da População Adulta masculina,2021Q3,2021,Q3,0.9996357135498972
TABELA 3: INDICADORES DE USO,Contas IME com titulares homens em % da População Adulta masculina,2021,2021,,0.8587973289632306
TABELA 3: INDICADORES DE USO,Contas IME com titulares homens em % da População Adulta masculina,2022Q1,2022,Q1,0.8654623099211373
TABELA 3: INDICADORES DE USO,Contas IME com titulares homens em % da População Adulta masculina,2022Q2,2022,Q2,0.7522110823444593
TABELA 3: INDICADORES DE USO,Contas IME com titulares homens em % da População Adulta masculina,2022Q3,2022,Q3,0.714583176518836
